 Total battles: 8101
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Ferrothorn         | 25.90421% | 4197   | 25.904% | 3636   | 29.177% | 
 | 2    | Garchomp           | 20.45426% | 3314   | 20.454% | 2561   | 20.551% | 
 | 3    | Tyranitar          | 18.84952% | 3054   | 18.850% | 2483   | 19.925% | 
 | 4    | Politoed           | 18.76312% | 3040   | 18.763% | 2698   | 21.650% | 
 | 5    | Latios             | 15.78200% | 2557   | 15.782% | 1899   | 15.239% | 
 | 6    | Scizor             | 14.63400% | 2371   | 14.634% | 1751   | 14.051% | 
 | 7    | Dragonite          | 14.57228% | 2361   | 14.572% | 1655   | 13.281% | 
 | 8    | Jirachi            | 13.62178% | 2207   | 13.622% | 1752   | 14.059% | 
 | 9    | Landorus-Therian   | 13.57240% | 2199   | 13.572% | 1832   | 14.701% | 
 | 10   | Starmie            | 13.22059% | 2142   | 13.221% | 1524   | 12.230% | 
 | 11   | Breloom            | 12.24540% | 1984   | 12.245% | 1508   | 12.101% | 
 | 12   | Volcarona          | 11.64054% | 1886   | 11.641% | 1363   | 10.938% | 
 | 13   | Alakazam           | 11.39366% | 1846   | 11.394% | 1240   |  9.951% | 
 | 14   | Hydreigon          | 10.70855% | 1735   | 10.709% | 1346   | 10.801% | 
 | 15   | Gengar             | 10.13455% | 1642   | 10.135% | 1197   |  9.605% | 
 | 16   | Tentacruel         | 10.12221% | 1640   | 10.122% | 1212   |  9.726% | 
 | 17   | Skarmory           |  9.52352% | 1543   |  9.524% | 1337   | 10.729% | 
 | 18   | Gliscor            |  9.48031% | 1536   |  9.480% | 1200   |  9.630% | 
 | 19   | Keldeo             |  8.88779% | 1440   |  8.888% | 1109   |  8.899% | 
 | 20   | Magnezone          |  8.52364% | 1381   |  8.524% | 1001   |  8.033% | 
 | 21   | Conkeldurr         |  8.44957% | 1369   |  8.450% | 1061   |  8.514% | 
 | 22   | Gyarados           |  8.25207% | 1337   |  8.252% | 1002   |  8.041% | 
 | 23   | Excadrill          |  8.17800% | 1325   |  8.178% | 960    |  7.704% | 
 | 24   | Jellicent          |  7.85088% | 1272   |  7.851% | 1037   |  8.322% | 
 | 25   | Heatran            |  7.84471% | 1271   |  7.845% | 1027   |  8.241% | 
 | 26   | Infernape          |  7.48673% | 1213   |  7.487% | 962    |  7.720% | 
 | 27   | Forretress         |  7.14109% | 1157   |  7.141% | 953    |  7.647% | 
 | 28   | Salamence          |  6.59178% | 1068   |  6.592% | 788    |  6.323% | 
 | 29   | Cloyster           |  6.56709% | 1064   |  6.567% | 792    |  6.355% | 
 | 30   | Blissey            |  6.56709% | 1064   |  6.567% | 793    |  6.364% | 
 | 31   | Rotom-Wash         |  6.44982% | 1045   |  6.450% | 864    |  6.933% | 
 | 32   | Jolteon            |  6.13505% | 994    |  6.135% | 756    |  6.067% | 
 | 33   | Tornadus           |  5.98692% | 970    |  5.987% | 712    |  5.714% | 
 | 34   | Thundurus-Therian  |  5.91902% | 959    |  5.919% | 731    |  5.866% | 
 | 35   | Lucario            |  5.72769% | 928    |  5.728% | 672    |  5.393% | 
 | 36   | Ninetales          |  5.19689% | 842    |  5.197% | 693    |  5.561% | 
 | 37   | Kyurem-Black       |  5.06110% | 820    |  5.061% | 586    |  4.702% | 
 | 38   | Reuniclus          |  4.89446% | 793    |  4.894% | 571    |  4.582% | 
 | 39   | Haxorus            |  4.86977% | 789    |  4.870% | 580    |  4.654% | 
 | 40   | Espeon             |  4.77719% | 774    |  4.777% | 600    |  4.815% | 
 | 41   | Dugtrio            |  4.74633% | 769    |  4.746% | 562    |  4.510% | 
 | 42   | Umbreon            |  4.45624% | 722    |  4.456% | 575    |  4.614% | 
 | 43   | Toxicroak          |  4.38218% | 710    |  4.382% | 534    |  4.285% | 
 | 44   | Chansey            |  4.33897% | 703    |  4.339% | 531    |  4.261% | 
 | 45   | Terrakion          |  4.18467% | 678    |  4.185% | 470    |  3.772% | 
 | 46   | Chandelure         |  4.08592% | 662    |  4.086% | 499    |  4.004% | 
 | 47   | Hippowdon          |  3.85138% | 624    |  3.851% | 534    |  4.285% | 
 | 48   | Donphan            |  3.83903% | 622    |  3.839% | 537    |  4.309% | 
 | 49   | Metagross          |  3.69090% | 598    |  3.691% | 450    |  3.611% | 
 | 50   | Mamoswine          |  3.52426% | 571    |  3.524% | 434    |  3.483% | 
 | 51   | Latias             |  3.46254% | 561    |  3.463% | 385    |  3.089% | 
 | 52   | Gastrodon          |  3.20948% | 520    |  3.209% | 402    |  3.226% | 
 | 53   | Swampert           |  3.14159% | 509    |  3.142% | 361    |  2.897% | 
 | 54   | Celebi             |  3.05518% | 495    |  3.055% | 368    |  2.953% | 
