 Total battles: 6161
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Ferrothorn         | 23.60818% | 2909   | 23.608% | 2494   | 26.418% | 
 | 2    | Garchomp           | 18.78753% | 2315   | 18.788% | 1703   | 18.039% | 
 | 3    | Scizor             | 17.14007% | 2112   | 17.140% | 1548   | 16.397% | 
 | 4    | Dragonite          | 16.79922% | 2070   | 16.799% | 1499   | 15.878% | 
 | 5    | Tyranitar          | 13.87762% | 1710   | 13.878% | 1392   | 14.745% | 
 | 6    | Politoed           | 13.32576% | 1642   | 13.326% | 1486   | 15.741% | 
 | 7    | Breloom            | 13.05795% | 1609   | 13.058% | 1184   | 12.542% | 
 | 8    | Latios             | 12.99302% | 1601   | 12.993% | 1150   | 12.182% | 
 | 9    | Starmie            | 12.12466% | 1494   | 12.125% | 1141   | 12.086% | 
 | 10   | Volcarona          | 11.68641% | 1440   | 11.686% | 1053   | 11.154% | 
 | 11   | Heatran            | 11.67830% | 1439   | 11.678% | 1176   | 12.457% | 
 | 12   | Landorus-Therian   | 11.62961% | 1433   | 11.630% | 1163   | 12.319% | 
 | 13   | Gliscor            | 10.72878% | 1322   | 10.729% | 1054   | 11.165% | 
 | 14   | Jirachi            | 10.41227% | 1283   | 10.412% | 983    | 10.413% | 
 | 15   | Rotom-Wash         | 10.18503% | 1255   | 10.185% | 1024   | 10.847% | 
 | 16   | Keldeo             |  9.73868% | 1200   |  9.739% | 893    |  9.459% | 
 | 17   | Alakazam           |  9.68999% | 1194   |  9.690% | 826    |  8.750% | 
 | 18   | Hydreigon          |  9.48710% | 1169   |  9.487% | 906    |  9.597% | 
 | 19   | Skarmory           |  9.27609% | 1143   |  9.276% | 975    | 10.328% | 
 | 20   | Gengar             |  9.10566% | 1122   |  9.106% | 837    |  8.866% | 
 | 21   | Tentacruel         |  8.45642% | 1042   |  8.456% | 809    |  8.569% | 
 | 22   | Cloyster           |  7.99383% | 985    |  7.994% | 731    |  7.743% | 
 | 23   | Gyarados           |  7.67733% | 946    |  7.677% | 690    |  7.309% | 
 | 24   | Conkeldurr         |  7.48255% | 922    |  7.483% | 696    |  7.372% | 
 | 25   | Infernape          |  7.13358% | 879    |  7.134% | 665    |  7.044% | 
 | 26   | Salamence          |  6.98750% | 861    |  6.988% | 631    |  6.684% | 
 | 27   | Jellicent          |  6.80084% | 838    |  6.801% | 649    |  6.875% | 
