 Total battles: 50991
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Ferrothorn         | 27.37738% | 27920  | 27.377% | 23952  | 30.475% | 
 | 2    | Latios             | 25.95164% | 26466  | 25.952% | 19763  | 25.145% | 
 | 3    | Garchomp           | 20.69385% | 21104  | 20.694% | 16006  | 20.365% | 
 | 4    | Tyranitar          | 20.02314% | 20420  | 20.023% | 16656  | 21.192% | 
 | 5    | Scizor             | 18.20615% | 18567  | 18.206% | 14135  | 17.985% | 
 | 6    | Politoed           | 18.19046% | 18551  | 18.190% | 16507  | 21.003% | 
 | 7    | Excadrill          | 14.83399% | 15128  | 14.834% | 10918  | 13.891% | 
 | 8    | Landorus-Therian   | 14.58100% | 14870  | 14.581% | 12566  | 15.988% | 
 | 9    | Dragonite          | 13.98580% | 14263  | 13.986% | 10484  | 13.339% | 
 | 10   | Rotom-Wash         | 13.76714% | 14040  | 13.767% | 11802  | 15.016% | 
 | 11   | Keldeo             | 13.74654% | 14019  | 13.747% | 10271  | 13.068% | 
 | 12   | Magnezone          | 12.95229% | 13209  | 12.952% | 10404  | 13.237% | 
 | 13   | Jirachi            | 12.27275% | 12516  | 12.273% | 10542  | 13.413% | 
 | 14   | Tentacruel         | 12.23843% | 12481  | 12.238% | 9166   | 11.662% | 
 | 15   | Gliscor            | 11.53635% | 11765  | 11.536% | 9346   | 11.891% | 
 | 16   | Alakazam           | 11.07843% | 11298  | 11.078% | 8022   | 10.207% | 
 | 17   | Starmie            | 10.50185% | 10710  | 10.502% | 8127   | 10.340% | 
 | 18   | Volcarona          | 10.43027% | 10637  | 10.430% | 7687   |  9.780% | 
 | 19   | Skarmory           | 10.26750% | 10471  | 10.267% | 8847   | 11.256% | 
 | 20   | Thundurus-Therian  |  9.89979% | 10096  |  9.900% | 7768   |  9.884% | 
 | 21   | Breloom            |  9.57326% | 9763   |  9.573% | 7366   |  9.372% | 
 | 22   | Hydreigon          |  8.90942% | 9086   |  8.909% | 6631   |  8.437% | 
 | 23   | Kyurem-Black       |  8.18870% | 8351   |  8.189% | 6057   |  7.707% | 
 | 24   | Heatran            |  7.61703% | 7768   |  7.617% | 6298   |  8.013% | 
 | 25   | Jellicent          |  7.57879% | 7729   |  7.579% | 6178   |  7.861% | 
 | 26   | Salamence          |  7.54055% | 7690   |  7.541% | 5593   |  7.116% | 
 | 27   | Reuniclus          |  7.41601% | 7563   |  7.416% | 5687   |  7.236% | 
 | 28   | Gengar             |  7.30521% | 7450   |  7.305% | 5291   |  6.732% | 
 | 29   | Conkeldurr         |  6.73746% | 6871   |  6.737% | 5075   |  6.457% | 
 | 30   | Infernape          |  6.65313% | 6785   |  6.653% | 5194   |  6.609% | 
 | 31   | Cloyster           |  6.51488% | 6644   |  6.515% | 5068   |  6.448% | 
 | 32   | Forretress         |  5.89418% | 6011   |  5.894% | 5192   |  6.606% | 
 | 33   | Gyarados           |  5.49509% | 5604   |  5.495% | 4282   |  5.448% | 
 | 34   | Mamoswine          |  5.34996% | 5456   |  5.350% | 4229   |  5.381% | 
 | 35   | Gastrodon          |  4.99892% | 5098   |  4.999% | 4108   |  5.227% | 
 | 36   | Lucario            |  4.87635% | 4973   |  4.876% | 3757   |  4.780% | 
 | 37   | Celebi             |  4.79006% | 4885   |  4.790% | 3971   |  5.052% | 
 | 38   | Blissey            |  4.76751% | 4862   |  4.768% | 3605   |  4.587% | 
 | 39   | Terrakion          |  4.64788% | 4740   |  4.648% | 3482   |  4.430% | 
 | 40   | Haxorus            |  4.43215% | 4520   |  4.432% | 3152   |  4.010% | 
 | 41   | Ninetales          |  3.95952% | 4038   |  3.960% | 3459   |  4.401% | 
 | 42   | Toxicroak          |  3.84382% | 3920   |  3.844% | 2962   |  3.769% | 
 | 43   | Chandelure         |  3.59671% | 3668   |  3.597% | 2706   |  3.443% | 
 | 44   | Jolteon            |  3.55161% | 3622   |  3.552% | 2685   |  3.416% | 
 | 45   | Espeon             |  3.47414% | 3543   |  3.474% | 2768   |  3.522% | 
 | 46   | Hippowdon          |  3.43296% | 3501   |  3.433% | 2981   |  3.793% | 
 | 47   | Chansey            |  3.20155% | 3265   |  3.202% | 2477   |  3.152% | 
 | 48   | Latias             |  3.06034% | 3121   |  3.060% | 2318   |  2.949% | 
 | 49   | Togekiss           |  2.81030% | 2866   |  2.810% | 2192   |  2.789% | 
 | 50   | Mienshao           |  2.77108% | 2826   |  2.771% | 2310   |  2.939% | 
 | 51   | Metagross          |  2.76127% | 2816   |  2.761% | 2038   |  2.593% | 
 | 52   | Vaporeon           |  2.61419% | 2666   |  2.614% | 1958   |  2.491% | 
 | 53   | Weavile            |  2.52692% | 2577   |  2.527% | 1922   |  2.445% | 
 | 54   | Abomasnow          |  2.46710% | 2516   |  2.467% | 2208   |  2.809% | 
 | 55   | Mew                |  2.38375% | 2431   |  2.384% | 2044   |  2.601% | 
 | 56   | Tornadus           |  2.15724% | 2200   |  2.157% | 1646   |  2.094% | 
 | 57   | Milotic            |  2.08370% | 2125   |  2.084% | 1617   |  2.057% | 
 | 58   | Darmanitan         |  2.07488% | 2116   |  2.075% | 1599   |  2.034% | 
 | 59   | Donphan            |  1.88269% | 1920   |  1.883% | 1600   |  2.036% | 
 | 60   | Cofagrigus         |  1.82679% | 1863   |  1.827% | 1454   |  1.850% | 
 | 61   | Krookodile         |  1.63558% | 1668   |  1.636% | 1221   |  1.554% | 
 | 62   | Zoroark            |  1.61695% | 1649   |  1.617% | 659    |  0.838% | 
 | 63   | Bronzong           |  1.58361% | 1615   |  1.584% | 1413   |  1.798% | 
 | 64   | Amoonguss          |  1.57185% | 1603   |  1.572% | 1288   |  1.639% | 
 | 65   | Arcanine           |  1.54635% | 1577   |  1.546% | 1213   |  1.543% | 
 | 66   | Eelektross         |  1.52184% | 1552   |  1.522% | 1219   |  1.551% | 
 | 67   | Froslass           |  1.49046% | 1520   |  1.490% | 1191   |  1.515% | 
 | 68   | Staraptor          |  1.43653% | 1465   |  1.437% | 1100   |  1.400% | 
 | 69   | Swampert           |  1.43457% | 1463   |  1.435% | 1220   |  1.552% | 
 | 70   | Victini            |  1.37769% | 1405   |  1.378% | 1104   |  1.405% | 
 | 71   | Snorlax            |  1.33553% | 1362   |  1.336% | 1073   |  1.365% | 
 | 72   | Kingdra            |  1.27964% | 1305   |  1.280% | 921    |  1.172% | 
 | 73   | Bisharp            |  1.25022% | 1275   |  1.250% | 1000   |  1.272% | 
 | 74   | Porygon2           |  1.23845% | 1263   |  1.238% | 993    |  1.263% | 
 | 75   | Slowbro            |  1.22080% | 1245   |  1.221% | 1004   |  1.277% | 
 | 76   | Samurott           |  1.17766% | 1201   |  1.178% | 943    |  1.200% | 
 | 77   | Roserade           |  1.16393% | 1187   |  1.164% | 870    |  1.107% | 
 | 78   | Heracross          |  1.16001% | 1183   |  1.160% | 816    |  1.038% | 
 | 79   | Claydol            |  1.15707% | 1180   |  1.157% | 888    |  1.130% | 
 | 80   | Serperior          |  1.14824% | 1171   |  1.148% | 929    |  1.182% | 
 | 81   | Empoleon           |  1.14432% | 1167   |  1.144% | 946    |  1.204% | 
 | 82   | Venusaur           |  1.14334% | 1166   |  1.143% | 832    |  1.059% | 
 | 83   | Blastoise          |  1.13648% | 1159   |  1.136% | 855    |  1.088% | 
 | 84   | Archeops           |  1.11294% | 1135   |  1.113% | 832    |  1.059% | 
 | 85   | Xatu               |  1.10510% | 1127   |  1.105% | 903    |  1.149% | 
 | 86   | Crobat             |  1.09921% | 1121   |  1.099% | 883    |  1.123% | 
 | 87   | Zapdos             |  1.07078% | 1092   |  1.071% | 872    |  1.109% | 
 | 88   | Scrafty            |  1.05019% | 1071   |  1.050% | 855    |  1.088% | 
