 Total battles: 49793
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Ferrothorn         | 27.23074% | 27118  | 27.231% | 23266  | 30.132% | 
 | 2    | Garchomp           | 20.78505% | 20699  | 20.785% | 15531  | 20.114% | 
 | 3    | Politoed           | 18.14512% | 18070  | 18.145% | 16281  | 21.085% | 
 | 4    | Scizor             | 17.91316% | 17839  | 17.913% | 13658  | 17.688% | 
 | 5    | Tyranitar          | 17.85191% | 17778  | 17.852% | 14765  | 19.122% | 
 | 6    | Latios             | 16.57663% | 16508  | 16.577% | 12330  | 15.968% | 
 | 7    | Landorus-Therian   | 14.74806% | 14687  | 14.748% | 12432  | 16.101% | 
 | 8    | Dragonite          | 13.62842% | 13572  | 13.628% | 9801   | 12.693% | 
 | 9    | Keldeo             | 12.03282% | 11983  | 12.033% | 8881   | 11.502% | 
 | 10   | Starmie            | 11.95951% | 11910  | 11.960% | 8918   | 11.550% | 
 | 11   | Volcarona          | 11.72956% | 11681  | 11.730% | 8449   | 10.942% | 
 | 12   | Alakazam           | 11.42831% | 11381  | 11.428% | 8187   | 10.603% | 
 | 13   | Rotom-Wash         | 11.16522% | 11119  | 11.165% | 9418   | 12.197% | 
 | 14   | Excadrill          | 11.16020% | 11114  | 11.160% | 8001   | 10.362% | 
 | 15   | Tentacruel         | 10.61997% | 10576  | 10.620% | 7998   | 10.358% | 
 | 16   | Gliscor            | 10.34483% | 10302  | 10.345% | 7994   | 10.353% | 
 | 17   | Magnezone          | 10.33780% | 10295  | 10.338% | 8154   | 10.560% | 
 | 18   | Skarmory           |  9.81564% | 9775   |  9.816% | 8465   | 10.963% | 
 | 19   | Jirachi            |  9.41397% | 9375   |  9.414% | 7536   |  9.760% | 
 | 20   | Hydreigon          |  9.36276% | 9324   |  9.363% | 6849   |  8.870% | 
 | 21   | Gengar             |  9.11875% | 9081   |  9.119% | 6532   |  8.460% | 
 | 22   | Breloom            |  9.10971% | 9072   |  9.110% | 6980   |  9.040% | 
 | 23   | Salamence          |  8.75525% | 8719   |  8.755% | 6455   |  8.360% | 
 | 24   | Conkeldurr         |  8.57249% | 8537   |  8.572% | 6598   |  8.545% | 
 | 25   | Jellicent          |  8.56345% | 8528   |  8.563% | 6954   |  9.006% | 
 | 26   | Heatran            |  8.54538% | 8510   |  8.545% | 6774   |  8.773% | 
 | 27   | Gyarados           |  7.85853% | 7826   |  7.859% | 6047   |  7.831% | 
 | 28   | Cloyster           |  7.83142% | 7799   |  7.831% | 5858   |  7.587% | 
 | 29   | Infernape          |  7.59143% | 7560   |  7.591% | 5830   |  7.550% | 
 | 30   | Thundurus-Therian  |  7.53017% | 7499   |  7.530% | 5595   |  7.246% | 
 | 31   | Kyurem-Black       |  6.42560% | 6399   |  6.426% | 4571   |  5.920% | 
 | 32   | Blissey            |  6.32017% | 6294   |  6.320% | 4642   |  6.012% | 
 | 33   | Forretress         |  6.23080% | 6205   |  6.231% | 5354   |  6.934% | 
 | 34   | Reuniclus          |  6.11632% | 6091   |  6.116% | 4560   |  5.906% | 
 | 35   | Jolteon            |  5.93457% | 5910   |  5.935% | 4469   |  5.788% | 
 | 36   | Mamoswine          |  5.78495% | 5761   |  5.785% | 4479   |  5.801% | 
 | 37   | Gastrodon          |  5.21961% | 5198   |  5.220% | 4127   |  5.345% | 
