 Total battles: 41788
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Ferrothorn         | 25.23452% | 21090  | 25.235% | 17860  | 27.822% | 
 | 2    | Garchomp           | 20.84929% | 17425  | 20.849% | 13186  | 20.541% | 
 | 3    | Tyranitar          | 18.20618% | 15216  | 18.206% | 12280  | 19.130% | 
 | 4    | Scizor             | 16.67823% | 13939  | 16.678% | 10914  | 17.002% | 
 | 5    | Latios             | 16.00818% | 13379  | 16.008% | 10114  | 15.756% | 
 | 6    | Dragonite          | 15.48770% | 12944  | 15.488% | 9385   | 14.620% | 
 | 7    | Politoed           | 14.90619% | 12458  | 14.906% | 11269  | 17.555% | 
 | 8    | Volcarona          | 14.20025% | 11868  | 14.200% | 8400   | 13.086% | 
 | 9    | Starmie            | 13.70489% | 11454  | 13.705% | 8688   | 13.534% | 
 | 10   | Landorus-Therian   | 13.08270% | 10934  | 13.083% | 9296   | 14.481% | 
 | 11   | Excadrill          | 12.33129% | 10306  | 12.331% | 7374   | 11.487% | 
 | 12   | Rotom-Wash         | 11.81559% | 9875   | 11.816% | 8282   | 12.902% | 
 | 13   | Alakazam           | 11.45664% | 9575   | 11.457% | 6785   | 10.570% | 
 | 14   | Magnezone          | 11.05461% | 9239   | 11.055% | 7139   | 11.121% | 
 | 15   | Tentacruel         | 10.88949% | 9101   | 10.889% | 6751   | 10.517% | 
 | 16   | Keldeo             | 10.29004% | 8600   | 10.290% | 6390   |  9.954% | 
 | 17   | Gliscor            |  9.87006% | 8249   |  9.870% | 6424   | 10.007% | 
 | 18   | Skarmory           |  9.41897% | 7872   |  9.419% | 6694   | 10.428% | 
 | 19   | Hydreigon          |  9.34479% | 7810   |  9.345% | 5813   |  9.056% | 
 | 20   | Salamence          |  9.31368% | 7784   |  9.314% | 5642   |  8.789% | 
 | 21   | Conkeldurr         |  8.94515% | 7476   |  8.945% | 5677   |  8.844% | 
 | 22   | Jirachi            |  8.87934% | 7421   |  8.879% | 5935   |  9.246% | 
