 Total battles: 1530
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Ferrothorn         | 23.69281% | 725    | 23.693% | 634    | 26.925% | 
 | 2    | Politoed           | 23.49673% | 719    | 23.497% | 645    | 27.392% | 
 | 3    | Garchomp           | 21.20915% | 649    | 21.209% | 483    | 20.512% | 
 | 4    | Starmie            | 18.23529% | 558    | 18.235% | 434    | 18.431% | 
 | 5    | Scizor             | 18.20261% | 557    | 18.203% | 420    | 17.837% | 
 | 6    | Tyranitar          | 18.20261% | 557    | 18.203% | 450    | 19.111% | 
 | 7    | Latios             | 17.54902% | 537    | 17.549% | 407    | 17.285% | 
 | 8    | Keldeo             | 17.05882% | 522    | 17.059% | 368    | 15.629% | 
 | 9    | Jirachi            | 15.84967% | 485    | 15.850% | 382    | 16.223% | 
 | 10   | Landorus-Therian   | 15.00000% | 459    | 15.000% | 384    | 16.308% | 
 | 11   | Dragonite          | 14.60784% | 447    | 14.608% | 310    | 13.165% | 
 | 12   | Breloom            | 14.54248% | 445    | 14.542% | 346    | 14.694% | 
 | 13   | Heatran            | 13.00654% | 398    | 13.007% | 290    | 12.316% | 
 | 14   | Gengar             | 12.61438% | 386    | 12.614% | 266    | 11.297% | 
 | 15   | Skarmory           |  9.86928% | 302    |  9.869% | 258    | 10.957% | 
 | 16   | Rotom-Wash         |  9.54248% | 292    |  9.542% | 248    | 10.532% | 
 | 17   | Tentacruel         |  9.24837% | 283    |  9.248% | 223    |  9.471% | 
 | 18   | Alakazam           |  9.15033% | 280    |  9.150% | 208    |  8.834% | 
 | 19   | Hydreigon          |  8.23529% | 252    |  8.235% | 196    |  8.324% | 
 | 20   | Volcarona          |  8.23529% | 252    |  8.235% | 174    |  7.390% | 
 | 21   | Jellicent          |  8.20261% | 251    |  8.203% | 186    |  7.899% | 
 | 22   | Gyarados           |  7.25490% | 222    |  7.255% | 177    |  7.517% | 
 | 23   | Lucario            |  7.25490% | 222    |  7.255% | 145    |  6.158% | 
 | 24   | Salamence          |  7.25490% | 222    |  7.255% | 166    |  7.050% | 
 | 25   | Terrakion          |  7.12418% | 218    |  7.124% | 154    |  6.540% | 
 | 26   | Gliscor            |  7.05882% | 216    |  7.059% | 176    |  7.475% | 
 | 27   | Latias             |  6.83007% | 209    |  6.830% | 145    |  6.158% | 
 | 28   | Kyurem-Black       |  6.73203% | 206    |  6.732% | 157    |  6.668% | 
 | 29   | Forretress         |  6.24183% | 191    |  6.242% | 166    |  7.050% | 
 | 30   | Tornadus           |  5.94771% | 182    |  5.948% | 133    |  5.648% | 
 | 31   | Excadrill          |  5.91503% | 181    |  5.915% | 127    |  5.394% | 
 | 32   | Thundurus-Therian  |  5.84967% | 179    |  5.850% | 134    |  5.691% | 
 | 33   | Jolteon            |  5.78431% | 177    |  5.784% | 137    |  5.818% | 
 | 34   | Celebi             |  5.35948% | 164    |  5.359% | 133    |  5.648% | 
 | 35   | Mamoswine          |  5.09804% | 156    |  5.098% | 142    |  6.031% | 
 | 36   | Toxicroak          |  5.06536% | 155    |  5.065% | 107    |  4.544% | 
 | 37   | Magnezone          |  4.93464% | 151    |  4.935% | 120    |  5.096% | 
 | 38   | Reuniclus          |  4.50980% | 138    |  4.510% | 99     |  4.204% | 
 | 39   | Conkeldurr         |  4.37908% | 134    |  4.379% | 96     |  4.077% | 
 | 40   | Charizard          |  4.34641% | 133    |  4.346% | 104    |  4.417% | 
 | 41   | Gastrodon          |  4.31373% | 132    |  4.314% | 99     |  4.204% | 
 | 42   | Hippowdon          |  3.88889% | 119    |  3.889% | 108    |  4.587% | 
 | 43   | Chansey            |  3.59477% | 110    |  3.595% | 82     |  3.482% | 
 | 44   | Infernape          |  3.26797% | 100    |  3.268% | 75     |  3.185% | 
 | 45   | Vaporeon           |  3.26797% | 100    |  3.268% | 73     |  3.100% | 
 | 46   | Raikou             |  3.23529% | 99     |  3.235% | 77     |  3.270% | 
 | 47   | Haxorus            |  3.23529% | 99     |  3.235% | 83     |  3.525% | 
 | 48   | Serperior          |  3.07190% | 94     |  3.072% | 71     |  3.015% | 
 | 49   | Togekiss           |  2.81046% | 86     |  2.810% | 77     |  3.270% | 
 | 50   | Ninetales          |  2.77778% | 85     |  2.778% | 74     |  3.143% | 
 | 51   | Mew                |  2.71242% | 83     |  2.712% | 65     |  2.760% | 
 | 52   | Donphan            |  2.71242% | 83     |  2.712% | 67     |  2.845% | 
 | 53   | Venusaur           |  2.51634% | 77     |  2.516% | 56     |  2.378% | 
 | 54   | Heracross          |  2.45098% | 75     |  2.451% | 47     |  1.996% | 
 | 55   | Amoonguss          |  2.32026% | 71     |  2.320% | 49     |  2.081% | 
 | 56   | Roserade           |  2.28758% | 70     |  2.288% | 62     |  2.633% | 
 | 57   | Dugtrio            |  2.28758% | 70     |  2.288% | 48     |  2.039% | 
 | 58   | Chandelure         |  2.28758% | 70     |  2.288% | 61     |  2.591% | 
 | 59   | Cloyster           |  2.22222% | 68     |  2.222% | 51     |  2.166% | 
 | 60   | Bisharp            |  2.18954% | 67     |  2.190% | 57     |  2.421% | 
 | 61   | Espeon             |  2.15686% | 66     |  2.157% | 54     |  2.293% | 
 | 62   | Electivire         |  2.12418% | 65     |  2.124% | 42     |  1.784% | 
 | 63   | Arcanine           |  2.09150% | 64     |  2.092% | 55     |  2.336% | 
 | 64   | Metagross          |  2.05882% | 63     |  2.059% | 47     |  1.996% | 
 | 65   | Snorlax            |  1.92810% | 59     |  1.928% | 46     |  1.954% | 
 | 66   | Staraptor          |  1.86275% | 57     |  1.863% | 42     |  1.784% | 
 | 67   | Weavile            |  1.83007% | 56     |  1.830% | 38     |  1.614% | 
 | 68   | Umbreon            |  1.79739% | 55     |  1.797% | 39     |  1.656% | 
 | 69   | Zapdos             |  1.79739% | 55     |  1.797% | 45     |  1.911% | 
 | 70   | Samurott           |  1.76471% | 54     |  1.765% | 46     |  1.954% | 
 | 71   | Sableye            |  1.76471% | 54     |  1.765% | 41     |  1.741% | 
 | 72   | Blissey            |  1.76471% | 54     |  1.765% | 42     |  1.784% | 
 | 73   | Kingdra            |  1.76471% | 54     |  1.765% | 43     |  1.826% | 
 | 74   | Krookodile         |  1.66667% | 51     |  1.667% | 39     |  1.656% | 
 | 75   | Swampert           |  1.66667% | 51     |  1.667% | 38     |  1.614% | 
 | 76   | Cresselia          |  1.60131% | 49     |  1.601% | 38     |  1.614% | 
 | 77   | Moltres            |  1.60131% | 49     |  1.601% | 34     |  1.444% | 
 | 78   | Emboar             |  1.56863% | 48     |  1.569% | 37     |  1.571% | 
 | 79   | Porygon2           |  1.53595% | 47     |  1.536% | 34     |  1.444% | 
 | 80   | Slowbro            |  1.50327% | 46     |  1.503% | 34     |  1.444% | 
 | 81   | Clefable           |  1.47059% | 45     |  1.471% | 25     |  1.062% | 
 | 82   | Blastoise          |  1.43791% | 44     |  1.438% | 34     |  1.444% | 
 | 83   | Lapras             |  1.40523% | 43     |  1.405% | 35     |  1.486% | 
 | 84   | Seismitoad         |  1.40523% | 43     |  1.405% | 36     |  1.529% | 
 | 85   | Gallade            |  1.40523% | 43     |  1.405% | 36     |  1.529% | 
 | 86   | Ludicolo           |  1.40523% | 43     |  1.405% | 29     |  1.232% | 
 | 87   | Pikachu            |  1.37255% | 42     |  1.373% | 31     |  1.317% | 
 | 88   | Zoroark            |  1.33987% | 41     |  1.340% | 19     |  0.807% | 
 | 89   | Darmanitan         |  1.27451% | 39     |  1.275% | 32     |  1.359% | 
 | 90   | Victini            |  1.27451% | 39     |  1.275% | 30     |  1.274% | 
 | 91   | Meloetta           |  1.24183% | 38     |  1.242% | 26     |  1.104% | 
 | 92   | Mienshao           |  1.20915% | 37     |  1.209% | 33     |  1.401% | 
 | 93   | Crobat             |  1.17647% | 36     |  1.176% | 32     |  1.359% | 
 | 94   | Azumarill          |  1.17647% | 36     |  1.176% | 25     |  1.062% | 
 | 95   | Eelektross         |  1.07843% | 33     |  1.078% | 29     |  1.232% | 
 | 96   | Azelf              |  1.07843% | 33     |  1.078% | 29     |  1.232% | 
 | 97   | Suicune            |  1.07843% | 33     |  1.078% | 28     |  1.189% | 
