 Total battles: 66595
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Ferrothorn         | 28.16277% | 37510  | 28.163% | 32204  | 31.407% | 
 | 2    | Latios             | 25.36602% | 33785  | 25.366% | 25089  | 24.468% | 
 | 3    | Garchomp           | 21.89053% | 29156  | 21.891% | 22301  | 21.749% | 
 | 4    | Tyranitar          | 21.56243% | 28719  | 21.562% | 23589  | 23.005% | 
 | 5    | Politoed           | 17.34515% | 23102  | 17.345% | 20668  | 20.156% | 
 | 6    | Excadrill          | 16.18815% | 21561  | 16.188% | 15455  | 15.072% | 
 | 7    | Scizor             | 16.01622% | 21332  | 16.016% | 16442  | 16.035% | 
 | 8    | Keldeo             | 15.71890% | 20936  | 15.719% | 15118  | 14.744% | 
 | 9    | Landorus-Therian   | 14.65951% | 19525  | 14.660% | 16864  | 16.447% | 
 | 10   | Dragonite          | 13.84263% | 18437  | 13.843% | 13282  | 12.953% | 
 | 11   | Alakazam           | 13.33133% | 17756  | 13.331% | 12456  | 12.148% | 
 | 12   | Tentacruel         | 12.99872% | 17313  | 12.999% | 12670  | 12.356% | 
 | 13   | Rotom-Wash         | 12.95443% | 17254  | 12.954% | 14496  | 14.137% | 
 | 14   | Jirachi            | 12.76973% | 17008  | 12.770% | 14444  | 14.087% | 
 | 15   | Magnezone          | 12.49043% | 16636  | 12.490% | 12982  | 12.661% | 
 | 16   | Volcarona          | 12.21038% | 16263  | 12.210% | 11760  | 11.469% | 
 | 17   | Thundurus-Therian  | 11.17051% | 14878  | 11.171% | 11372  | 11.091% | 
 | 18   | Skarmory           | 11.09092% | 14772  | 11.091% | 12469  | 12.160% | 
 | 19   | Starmie            | 10.92349% | 14549  | 10.923% | 10960  | 10.689% | 
 | 20   | Gliscor            | 10.80487% | 14391  | 10.805% | 11339  | 11.058% | 
 | 21   | Breloom            | 10.64720% | 14181  | 10.647% | 11094  | 10.819% | 
 | 22   | Jellicent          |  8.27014% | 11015  |  8.270% | 8719   |  8.503% | 
 | 23   | Hydreigon          |  8.14250% | 10845  |  8.143% | 7902   |  7.706% | 
 | 24   | Kyurem-Black       |  8.03664% | 10704  |  8.037% | 7677   |  7.487% | 
 | 25   | Reuniclus          |  7.36091% | 9804   |  7.361% | 7247   |  7.068% | 
 | 26   | Conkeldurr         |  7.35416% | 9795   |  7.354% | 7670   |  7.480% | 
 | 27   | Gengar             |  7.30310% | 9727   |  7.303% | 7113   |  6.937% | 
 | 28   | Heatran            |  7.25054% | 9657   |  7.251% | 7751   |  7.559% | 
 | 29   | Salamence          |  6.84361% | 9115   |  6.844% | 6585   |  6.422% | 
 | 30   | Infernape          |  6.81658% | 9079   |  6.817% | 6872   |  6.702% | 
 | 31   | Gyarados           |  6.54253% | 8714   |  6.543% | 6649   |  6.484% | 
 | 32   | Cloyster           |  6.41565% | 8545   |  6.416% | 6280   |  6.125% | 
 | 33   | Mamoswine          |  5.59426% | 7451   |  5.594% | 5641   |  5.501% | 
 | 34   | Forretress         |  5.23688% | 6975   |  5.237% | 5806   |  5.662% | 
 | 35   | Gastrodon          |  5.14228% | 6849   |  5.142% | 5296   |  5.165% | 
 | 36   | Celebi             |  4.61071% | 6141   |  4.611% | 5008   |  4.884% | 
 | 37   | Chandelure         |  4.45078% | 5928   |  4.451% | 4331   |  4.224% | 
 | 38   | Lucario            |  4.12343% | 5492   |  4.123% | 4002   |  3.903% | 
 | 39   | Haxorus            |  4.04910% | 5393   |  4.049% | 3873   |  3.777% | 
 | 40   | Ninetales          |  3.92222% | 5224   |  3.922% | 4546   |  4.433% | 
 | 41   | Blissey            |  3.89669% | 5190   |  3.897% | 3816   |  3.722% | 
 | 42   | Toxicroak          |  3.74803% | 4992   |  3.748% | 3682   |  3.591% | 
 | 43   | Terrakion          |  3.65042% | 4862   |  3.650% | 3536   |  3.448% | 
 | 44   | Jolteon            |  3.57009% | 4755   |  3.570% | 3630   |  3.540% | 
 | 45   | Espeon             |  3.14363% | 4187   |  3.144% | 3223   |  3.143% | 
 | 46   | Metagross          |  2.97470% | 3962   |  2.975% | 2964   |  2.891% | 
 | 47   | Chansey            |  2.94091% | 3917   |  2.941% | 2904   |  2.832% | 
 | 48   | Latias             |  2.84556% | 3790   |  2.846% | 2799   |  2.730% | 
 | 49   | Hippowdon          |  2.81853% | 3754   |  2.819% | 3145   |  3.067% | 
 | 50   | Weavile            |  2.67663% | 3565   |  2.677% | 2592   |  2.528% | 
 | 51   | Mienshao           |  2.63308% | 3507   |  2.633% | 2890   |  2.818% | 
 | 52   | Tornadus           |  2.18560% | 2911   |  2.186% | 2194   |  2.140% | 
 | 53   | Togekiss           |  2.12629% | 2832   |  2.126% | 2078   |  2.027% | 
 | 54   | Mew                |  2.04445% | 2723   |  2.044% | 2249   |  2.193% | 
 | 55   | Milotic            |  1.95360% | 2602   |  1.954% | 1978   |  1.929% | 
 | 56   | Abomasnow          |  1.85675% | 2473   |  1.857% | 2147   |  2.094% | 
 | 57   | Cofagrigus         |  1.81845% | 2422   |  1.818% | 1854   |  1.808% | 
 | 58   | Darmanitan         |  1.78467% | 2377   |  1.785% | 1773   |  1.729% | 
 | 59   | Donphan            |  1.58420% | 2110   |  1.584% | 1713   |  1.671% | 
 | 60   | Dusclops           |  1.57444% | 2097   |  1.574% | 1654   |  1.613% | 
 | 61   | Hitmontop          |  1.55492% | 2071   |  1.555% | 1455   |  1.419% | 
 | 62   | Staraptor          |  1.54967% | 2064   |  1.550% | 1563   |  1.524% | 
 | 63   | Arcanine           |  1.54216% | 2054   |  1.542% | 1588   |  1.549% | 
 | 64   | Krookodile         |  1.53390% | 2043   |  1.534% | 1498   |  1.461% | 
