 Total battles: 4553
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Ferrothorn         | 24.28069% | 2211   | 24.281% | 1890   | 27.129% | 
 | 2    | Scizor             | 20.03075% | 1824   | 20.031% | 1424   | 20.440% | 
 | 3    | Garchomp           | 18.39447% | 1675   | 18.394% | 1177   | 16.894% | 
 | 4    | Politoed           | 17.83439% | 1624   | 17.834% | 1480   | 21.244% | 
 | 5    | Dragonite          | 14.84735% | 1352   | 14.847% | 1009   | 14.483% | 
 | 6    | Tyranitar          | 13.73819% | 1251   | 13.738% | 999    | 14.339% | 
 | 7    | Latios             | 13.25500% | 1207   | 13.255% | 880    | 12.631% | 
 | 8    | Landorus-Therian   | 12.96947% | 1181   | 12.969% | 960    | 13.780% | 
 | 9    | Starmie            | 12.47529% | 1136   | 12.475% | 846    | 12.143% | 
 | 10   | Alakazam           | 11.50890% | 1048   | 11.509% | 740    | 10.622% | 
 | 11   | Breloom            | 11.41006% | 1039   | 11.410% | 795    | 11.411% | 
 | 12   | Volcarona          | 10.72919% | 977    | 10.729% | 689    |  9.890% | 
 | 13   | Rotom-Wash         | 10.38875% | 946    | 10.389% | 772    | 11.081% | 
 | 14   | Jirachi            | 10.28992% | 937    | 10.290% | 733    | 10.521% | 
 | 15   | Keldeo             |  9.89458% | 901    |  9.895% | 662    |  9.502% | 
 | 16   | Hydreigon          |  9.34549% | 851    |  9.345% | 631    |  9.057% | 
 | 17   | Heatran            |  8.93916% | 814    |  8.939% | 655    |  9.402% | 
 | 18   | Skarmory           |  8.84033% | 805    |  8.840% | 677    |  9.717% | 
 | 19   | Gliscor            |  8.80738% | 802    |  8.807% | 594    |  8.526% | 
 | 20   | Gyarados           |  8.74149% | 796    |  8.741% | 569    |  8.167% | 
 | 21   | Jellicent          |  8.60971% | 784    |  8.610% | 572    |  8.210% | 
 | 22   | Gengar             |  8.29124% | 755    |  8.291% | 551    |  7.909% | 
 | 23   | Thundurus-Therian  |  8.13749% | 741    |  8.137% | 557    |  7.995% | 
 | 24   | Cloyster           |  8.04964% | 733    |  8.050% | 554    |  7.952% | 
 | 25   | Tentacruel         |  7.90687% | 720    |  7.907% | 562    |  8.067% | 
 | 26   | Excadrill          |  7.88491% | 718    |  7.885% | 542    |  7.780% | 
