Rank,Pokemon,Usage%,Raw,%,Real,%
1,Latios,27.73092%,23802,27.731%,17604,25.896%
2,Ferrothorn,27.34994%,23475,27.350%,20510,30.171%
3,Tyranitar,25.65244%,22018,25.652%,18360,27.008%
4,Starmie,24.39067%,20935,24.391%,15932,23.437%
5,Garchomp,23.91299%,20525,23.913%,16417,24.150%
6,Scizor,21.37431%,18346,21.374%,14159,20.828%
7,Landorus-Therian,20.65896%,17732,20.659%,15489,22.785%
8,Excadrill,18.02009%,15467,18.020%,11393,16.760%
9,Keldeo,17.17425%,14741,17.174%,11468,16.870%
10,Politoed,16.64298%,14285,16.643%,12785,18.807%
11,Dragonite,16.38084%,14060,16.381%,9867,14.515%
12,Alakazam,15.83675%,13593,15.837%,9708,14.281%
13,Jirachi,14.12061%,12120,14.121%,10127,14.897%
14,Volcarona,13.89575%,11927,13.896%,8661,12.741%
15,Rotom-Wash,13.23982%,11364,13.240%,9910,14.578%
16,Skarmory,11.12988%,9553,11.130%,8605,12.658%
17,Breloom,10.68716%,9173,10.687%,7099,10.443%
18,Gliscor,10.53220%,9040,10.532%,7504,11.039%
19,Thundurus-Therian,10.04753%,8624,10.048%,6903,10.155%
20,Jellicent,9.64908%,8282,9.649%,6575,9.672%
21,Heatran,9.44753%,8109,9.448%,6451,9.490%
22,Magnezone,9.42306%,8088,9.423%,6165,9.069%
23,Tentacruel,9.05723%,7774,9.057%,5905,8.686%
24,Reuniclus,8.25450%,7085,8.254%,5345,7.863%
25,Kyurem-Black,7.33060%,6292,7.331%,4657,6.851%
26,Mamoswine,7.17332%,6157,7.173%,4664,6.861%
27,Gengar,7.15351%,6140,7.154%,4475,6.583%
28,Gyarados,6.81680%,5851,6.817%,4381,6.445%
29,Conkeldurr,6.55816%,5629,6.558%,4590,6.752%
30,Terrakion,6.00708%,5156,6.007%,4180,6.149%
31,Ninetales,4.80124%,4121,4.801%,3466,5.099%
32,Celebi,4.76279%,4088,4.763%,3434,5.052%
33,Forretress,4.68124%,4018,4.681%,3453,5.079%
34,Hydreigon,4.32589%,3713,4.326%,2881,4.238%
35,Salamence,4.14880%,3561,4.149%,2508,3.689%
36,Infernape,4.08006%,3502,4.080%,2835,4.170%
37,Abomasnow,3.97171%,3409,3.972%,2979,4.382%
38,Gastrodon,3.64899%,3132,3.649%,2482,3.651%
39,Blissey,3.60006%,3090,3.600%,2416,3.554%
40,Latias,3.36005%,2884,3.360%,2175,3.200%
41,Lucario,3.35889%,2883,3.359%,2189,3.220%
42,Metagross,3.32044%,2850,3.320%,2333,3.432%
43,Hippowdon,3.09675%,2658,3.097%,2433,3.579%
44,Donphan,3.03733%,2607,3.037%,2110,3.104%
45,Chansey,2.69596%,2314,2.696%,1814,2.668%
46,Xatu,2.40586%,2065,2.406%,1678,2.468%
47,Toxicroak,2.28470%,1961,2.285%,1463,2.152%
48,Espeon,2.24159%,1924,2.242%,1513,2.226%
49,Weavile,2.19266%,1882,2.193%,1422,2.092%
50,Chandelure,2.17052%,1863,2.171%,1475,2.170%
51,Zapdos,2.14023%,1837,2.140%,1439,2.117%
52,Azelf,2.07032%,1777,2.070%,1685,2.479%
53,Jolteon,2.05867%,1767,2.059%,1406,2.068%
54,Victini,1.96314%,1685,1.963%,1276,1.877%
55,Mienshao,1.96197%,1684,1.962%,1404,2.065%
56,Roserade,1.94916%,1673,1.949%,1160,1.706%
57,Darmanitan,1.93751%,1663,1.938%,1243,1.829%
58,Haxorus,1.80585%,1550,1.806%,1135,1.670%
59,Bronzong,1.76042%,1511,1.760%,1318,1.939%
60,Amoonguss,1.67420%,1437,1.674%,1191,1.752%
61,Tornadus,1.63109%,1400,1.631%,1039,1.528%
62,Blastoise,1.62993%,1399,1.630%,1140,1.677%
63,Scrafty,1.52857%,1312,1.529%,995,1.464%
64,Sableye,1.52158%,1306,1.522%,1083,1.593%
65,Mew,1.50760%,1294,1.508%,1116,1.642%
66,Bisharp,1.48896%,1278,1.489%,980,1.442%
67,Hitmontop,1.48779%,1277,1.488%,999,1.470%
68,Machamp,1.44002%,1236,1.440%,1003,1.475%
69,Clefable,1.41323%,1213,1.413%,1023,1.505%
70,Snorlax,1.38526%,1189,1.385%,951,1.399%
71,Togekiss,1.37361%,1179,1.374%,965,1.420%
72,Cofagrigus,1.33983%,1150,1.340%,875,1.287%
73,Crobat,1.30953%,1124,1.310%,898,1.321%
74,Kyurem,1.30837%,1123,1.308%,903,1.328%
75,Cresselia,1.29439%,1111,1.294%,883,1.299%
76,Aerodactyl,1.21050%,1039,1.211%,968,1.424%
77,Seismitoad,1.20817%,1037,1.208%,941,1.384%
78,Umbreon,1.13361%,973,1.134%,738,1.086%
79,Staraptor,1.11380%,956,1.114%,741,1.090%
80,Honchkrow,1.10099%,945,1.101%,757,1.114%
81,Krookodile,1.06720%,916,1.067%,716,1.053%
82,Slowbro,1.06254%,912,1.063%,754,1.109%
83,Lapras,1.05788%,908,1.058%,671,0.987%
84,Arcanine,1.02992%,884,1.030%,678,0.997%
85,Porygon2,1.02526%,880,1.025%,728,1.071%
86,Zoroark,1.01361%,870,1.014%,289,0.425%
87,Nidoking,0.92739%,796,0.927%,599,0.881%
88,Froslass,0.91924%,789,0.919%,727,1.069%
89,Empoleon,0.89943%,772,0.899%,592,0.871%
90,Dusclops,0.88079%,756,0.881%,627,0.922%
91,Venusaur,0.87497%,751,0.875%,574,0.844%
92,Heracross,0.84817%,728,0.848%,560,0.824%
93,Milotic,0.81671%,701,0.817%,550,0.809%
94,Suicune,0.80040%,687,0.800%,552,0.812%
95,Swampert,0.79807%,685,0.798%,552,0.812%
96,Sharpedo,0.79108%,679,0.791%,459,0.675%
97,Charizard,0.78992%,678,0.790%,515,0.758%
98,Golurk,0.75962%,652,0.760%,523,0.769%
99,Vaporeon,0.75263%,646,0.753%,506,0.744%
100,Kingdra,0.74564%,640,0.746%,482,0.709%
101,Quagsire,0.74564%,640,0.746%,488,0.718%
102,Ambipom,0.65710%,564,0.657%,467,0.687%
103,Ditto,0.63729%,547,0.637%,386,0.568%
104,Tangrowth,0.63147%,542,0.631%,418,0.615%
105,Porygon-Z,0.62098%,533,0.621%,423,0.622%
106,Eelektross,0.61982%,532,0.620%,398,0.585%
107,Claydol,0.60933%,523,0.609%,450,0.662%
108,Serperior,0.60350%,518,0.604%,411,0.605%
109,Spiritomb,0.60117%,516,0.601%,411,0.605%
110,Sigilyph,0.59418%,510,0.594%,373,0.549%
111,Rotom-Heat,0.57787%,496,0.578%,383,0.563%
112,Braviary,0.57438%,493,0.574%,360,0.530%
113,Whimsicott,0.57438%,493,0.574%,416,0.612%
114,Samurott,0.56622%,486,0.566%,387,0.569%
115,Pikachu,0.54059%,464,0.541%,306,0.450%
116,Raikou,0.52545%,451,0.525%,348,0.512%
117,Gallade,0.52428%,450,0.524%,355,0.522%
118,Lilligant,0.51379%,441,0.514%,333,0.490%
119,Hitmonchan,0.49399%,424,0.494%,267,0.393%
120,Galvantula,0.48117%,413,0.481%,323,0.475%
121,Feraligatr,0.46952%,403,0.470%,269,0.396%
122,Medicham,0.46253%,397,0.463%,285,0.419%
123,Audino,0.45554%,391,0.456%,336,0.494%
124,Mismagius,0.43573%,374,0.436%,281,0.413%
125,Ludicolo,0.43224%,371,0.432%,258,0.380%
126,Cobalion,0.42525%,365,0.425%,329,0.484%
127,Scyther,0.42059%,361,0.421%,233,0.343%
128,Persian,0.41709%,358,0.417%,341,0.502%
129,Shaymin,0.41010%,352,0.410%,288,0.424%
130,Emboar,0.39263%,337,0.393%,265,0.390%
131,Aggron,0.38797%,333,0.388%,250,0.368%
132,Mandibuzz,0.36583%,314,0.366%,236,0.347%
133,Lanturn,0.36583%,314,0.366%,193,0.284%
134,Yanmega,0.36583%,314,0.366%,252,0.371%
135,Archeops,0.34835%,299,0.348%,265,0.390%
136,Torkoal,0.34835%,299,0.348%,263,0.387%
137,Shuckle,0.34835%,299,0.348%,247,0.363%
138,Sceptile,0.34486%,296,0.345%,227,0.334%
139,Riolu,0.34136%,293,0.341%,186,0.274%
140,Exeggutor,0.33088%,284,0.331%,214,0.315%
141,Rhyperior,0.32855%,282,0.329%,216,0.318%
142,Hitmonlee,0.32272%,277,0.323%,200,0.294%
143,Dusknoir,0.31923%,274,0.319%,219,0.322%
144,Carracosta,0.31340%,269,0.313%,205,0.302%
145,Houndoom,0.31340%,269,0.313%,156,0.229%
146,Scolipede,0.29476%,253,0.295%,209,0.307%
147,Azumarill,0.28661%,246,0.287%,180,0.265%
148,Cinccino,0.28428%,244,0.284%,174,0.256%
149,Rotom-Mow,0.28428%,244,0.284%,221,0.325%
150,Drifblim,0.28195%,242,0.282%,179,0.263%
151,Alomomola,0.27729%,238,0.277%,184,0.271%
152,Electivire,0.27263%,234,0.273%,184,0.271%
153,Drapion,0.27146%,233,0.271%,178,0.262%
154,Slowking,0.26564%,228,0.266%,185,0.272%
155,Druddigon,0.25981%,223,0.260%,193,0.284%
156,Armaldo,0.25864%,222,0.259%,191,0.281%
157,Steelix,0.25864%,222,0.259%,188,0.277%
158,Flygon,0.25631%,220,0.256%,160,0.235%
159,Rotom,0.25631%,220,0.256%,189,0.278%
160,Escavalier,0.25165%,216,0.252%,188,0.277%
161,Gardevoir,0.25049%,215,0.250%,171,0.252%
162,Swellow,0.24932%,214,0.249%,144,0.212%
163,Virizion,0.23068%,198,0.231%,139,0.204%
164,Rhydon,0.22486%,193,0.225%,136,0.200%
165,Typhlosion,0.21787%,187,0.218%,154,0.227%
166,Cradily,0.21321%,183,0.213%,156,0.229%
167,Shedinja,0.21204%,182,0.212%,107,0.157%
168,Weezing,0.20971%,180,0.210%,134,0.197%
169,Accelgor,0.20855%,179,0.209%,149,0.219%
170,Zebstrika,0.20738%,178,0.207%,127,0.187%
171,Torterra,0.20622%,177,0.206%,147,0.216%
172,Venomoth,0.19457%,167,0.195%,132,0.194%
173,Liepard,0.19340%,166,0.193%,146,0.215%
174,Durant,0.19224%,165,0.192%,128,0.188%
175,Spinda,0.18991%,163,0.190%,138,0.203%
176,Absol,0.18641%,160,0.186%,130,0.191%
177,Rotom-Frost,0.18175%,156,0.182%,108,0.159%
178,Omastar,0.17826%,153,0.178%,114,0.168%
179,Bouffalant,0.17359%,149,0.174%,113,0.166%
180,Klinklang,0.17243%,148,0.172%,117,0.172%
181,Luxray,0.17010%,146,0.170%,98,0.144%
182,Miltank,0.16660%,143,0.167%,113,0.166%
183,Gigalith,0.16544%,142,0.165%,126,0.185%
184,Marowak,0.16544%,142,0.165%,101,0.149%
185,Musharna,0.16427%,141,0.164%,120,0.177%
186,Nidoqueen,0.16194%,139,0.162%,120,0.177%
187,Kabutops,0.16194%,139,0.162%,106,0.156%
188,Registeel,0.15379%,132,0.154%,115,0.169%
189,Muk,0.15146%,130,0.151%,81,0.119%
190,Crustle,0.14913%,128,0.149%,104,0.153%
191,Aron,0.14680%,126,0.147%,97,0.143%
192,Crawdaunt,0.14330%,123,0.143%,96,0.141%
193,Meloetta,0.13631%,117,0.136%,79,0.116%
194,Raichu,0.13515%,116,0.135%,95,0.140%
195,Ursaring,0.13049%,112,0.130%,86,0.127%
196,Walrein,0.12816%,110,0.128%,86,0.127%
197,Leavanny,0.12466%,107,0.125%,86,0.127%
198,Moltres,0.12117%,104,0.121%,78,0.115%
199,Golem,0.12000%,103,0.120%,94,0.138%
200,Swoobat,0.11767%,101,0.118%,91,0.134%
201,Emolga,0.11534%,99,0.115%,81,0.119%
202,Beheeyem,0.11534%,99,0.115%,81,0.119%
203,Regirock,0.11418%,98,0.114%,86,0.127%
204,Tauros,0.11418%,98,0.114%,75,0.110%
205,Sawk,0.11418%,98,0.114%,80,0.118%
206,Smeargle,0.10835%,93,0.108%,85,0.125%
207,Meganium,0.10835%,93,0.108%,71,0.104%
208,Gothitelle,0.10602%,91,0.106%,66,0.097%
209,Hariyama,0.10486%,90,0.105%,70,0.103%
210,Altaria,0.10369%,89,0.104%,76,0.112%
211,Tangela,0.10136%,87,0.101%,76,0.112%
212,Poliwrath,0.10020%,86,0.100%,63,0.093%
213,Simipour,0.10020%,86,0.100%,65,0.096%
214,Throh,0.10020%,86,0.100%,67,0.099%
215,Rampardos,0.09787%,84,0.098%,61,0.090%
216,Stoutland,0.09670%,83,0.097%,73,0.107%
217,Bastiodon,0.09437%,81,0.094%,66,0.097%
218,Cryogonal,0.09321%,80,0.093%,61,0.090%
219,Articuno,0.09321%,80,0.093%,69,0.102%
220,Cacturne,0.09204%,79,0.092%,63,0.093%
221,Kingler,0.09088%,78,0.091%,51,0.075%
222,Magneton,0.09088%,78,0.091%,61,0.090%
223,Magmortar,0.09088%,78,0.091%,66,0.097%
224,Swanna,0.09088%,78,0.091%,56,0.082%
225,Entei,0.09088%,78,0.091%,50,0.074%
226,Lickilicky,0.08971%,77,0.090%,62,0.091%
227,Watchog,0.08971%,77,0.090%,70,0.103%
228,Probopass,0.08621%,74,0.086%,69,0.102%
229,Arbok,0.08388%,72,0.084%,50,0.074%
230,Pelipper,0.08388%,72,0.084%,57,0.084%
231,Murkrow,0.08039%,69,0.080%,53,0.078%
232,Lopunny,0.07922%,68,0.079%,38,0.056%
233,Regigigas,0.07922%,68,0.079%,57,0.084%
234,Electrode,0.07922%,68,0.079%,51,0.075%
235,Dugtrio,0.07689%,66,0.077%,56,0.082%
236,Floatzel,0.07573%,65,0.076%,44,0.065%
237,Mr.Mime,0.07573%,65,0.076%,45,0.066%
238,Slaking,0.07340%,63,0.073%,54,0.079%
239,Manectric,0.07340%,63,0.073%,48,0.071%
240,Shiftry,0.07223%,62,0.072%,50,0.074%
241,Purugly,0.07223%,62,0.072%,60,0.088%
242,Skuntank,0.07223%,62,0.072%,42,0.062%
243,Pidgeot,0.07107%,61,0.071%,45,0.066%
244,Piloswine,0.06990%,60,0.070%,49,0.072%
245,Garbodor,0.06874%,59,0.069%,51,0.075%
246,Wingull,0.06874%,59,0.069%,47,0.069%
247,Glaceon,0.06757%,58,0.068%,39,0.057%
248,Rapidash,0.06757%,58,0.068%,38,0.056%
249,Leafeon,0.06641%,57,0.066%,42,0.062%
250,Gorebyss,0.06641%,57,0.066%,38,0.056%
251,Heatmor,0.06641%,57,0.066%,48,0.071%
252,Sawsbuck,0.06641%,57,0.066%,47,0.069%
253,Parasect,0.06524%,56,0.065%,43,0.063%
254,Uxie,0.06408%,55,0.064%,51,0.075%
255,Wailord,0.06408%,55,0.064%,48,0.071%
256,Flareon,0.06291%,54,0.063%,42,0.062%
257,Unfezant,0.06291%,54,0.063%,44,0.065%
258,Beartic,0.06291%,54,0.063%,44,0.065%
259,Pachirisu,0.06291%,54,0.063%,35,0.051%
260,Tropius,0.06175%,53,0.062%,41,0.060%
261,Vanilluxe,0.06058%,52,0.061%,41,0.060%
262,Cherrim,0.05942%,51,0.059%,35,0.051%
263,Whiscash,0.05825%,50,0.058%,38,0.056%
264,Corsola,0.05592%,48,0.056%,39,0.057%
265,Dodrio,0.05592%,48,0.056%,21,0.031%
