Rank,Pokemon,Usage%,Raw,%,Real,%
1,Latios,27.56605%,24477,27.566%,18822,26.211%
2,Tyranitar,26.21461%,23277,26.215%,19649,27.362%
3,Ferrothorn,25.24720%,22418,25.247%,19847,27.638%
4,Starmie,24.35525%,21626,24.355%,17096,23.807%
5,Garchomp,23.53312%,20896,23.533%,17034,23.721%
6,Landorus-Therian,19.75697%,17543,19.757%,15619,21.750%
7,Excadrill,18.43368%,16368,18.434%,12467,17.361%
8,Jirachi,17.59916%,15627,17.599%,13200,18.382%
9,Dragonite,17.25229%,15319,17.252%,11104,15.463%
10,Scizor,17.10926%,15192,17.109%,11877,16.539%
11,Keldeo,13.95139%,12388,13.951%,9826,13.683%
12,Volcarona,13.66646%,12135,13.666%,9152,12.745%
13,Rotom-Wash,13.40293%,11901,13.403%,10496,14.616%
14,Politoed,13.30045%,11810,13.300%,10762,14.987%
15,Skarmory,13.01890%,11560,13.019%,10314,14.363%
16,Alakazam,12.44228%,11048,12.442%,8152,11.352%
17,Conkeldurr,10.21128%,9067,10.211%,7424,10.338%
18,Jellicent,10.06937%,8941,10.069%,7395,10.298%
19,Heatran,9.69773%,8611,9.698%,7005,9.755%
20,Gliscor,9.65268%,8571,9.653%,7167,9.980%
21,Reuniclus,9.05129%,8037,9.051%,6149,8.563%
22,Tentacruel,9.02876%,8017,9.029%,6248,8.701%
23,Terrakion,8.82605%,7837,8.826%,6486,9.032%
24,Thundurus-Therian,8.25394%,7329,8.254%,5910,8.230%
25,Breloom,7.74151%,6874,7.742%,5398,7.517%
26,Magnezone,7.65592%,6798,7.656%,5484,7.637%
27,Kyurem-Black,6.76510%,6007,6.765%,4579,6.377%
28,Mamoswine,6.61869%,5877,6.619%,4626,6.442%
29,Gyarados,5.94860%,5282,5.949%,4208,5.860%
30,Gengar,5.82134%,5169,5.821%,3933,5.477%
31,Hippowdon,5.23571%,4649,5.236%,4113,5.728%
32,Forretress,5.18729%,4606,5.187%,4044,5.632%
33,Hydreigon,5.00372%,4443,5.004%,3540,4.930%
34,Latias,4.91925%,4368,4.919%,3419,4.761%
35,Ninetales,4.86970%,4324,4.870%,3759,5.235%
36,Blissey,4.76834%,4234,4.768%,3447,4.800%
37,Salamence,4.71991%,4191,4.720%,3292,4.584%
38,Celebi,4.57801%,4065,4.578%,3486,4.854%
39,Infernape,3.64214%,3234,3.642%,2618,3.646%
40,Chandelure,3.36509%,2988,3.365%,2361,3.288%
41,Lucario,3.30090%,2931,3.301%,2221,3.093%
42,Gastrodon,3.04863%,2707,3.049%,2257,3.143%
43,Darmanitan,2.98106%,2647,2.981%,2034,2.832%
44,Espeon,2.88646%,2563,2.886%,1980,2.757%
45,Chansey,2.75019%,2442,2.750%,1972,2.746%
46,Amoonguss,2.72316%,2418,2.723%,1874,2.610%
47,Xatu,2.60716%,2315,2.607%,1893,2.636%
48,Zapdos,2.60378%,2312,2.604%,1883,2.622%
49,Bronzong,2.60378%,2312,2.604%,2024,2.819%
50,Clefable,2.57562%,2287,2.576%,1989,2.770%
51,Slowbro,2.55648%,2270,2.556%,1865,2.597%
52,Abomasnow,2.54071%,2256,2.541%,2044,2.846%
53,Donphan,2.19497%,1949,2.195%,1683,2.344%
54,Slowking,2.16794%,1925,2.168%,1649,2.296%
55,Tornadus,2.06433%,1833,2.064%,1513,2.107%
56,Metagross,1.96748%,1747,1.967%,1412,1.966%
57,Mienshao,1.89315%,1681,1.893%,1364,1.899%
58,Weavile,1.85148%,1644,1.851%,1196,1.665%
59,Victini,1.84134%,1635,1.841%,1325,1.845%
60,Togekiss,1.82670%,1622,1.827%,1293,1.801%
61,Jolteon,1.82220%,1618,1.822%,1317,1.834%
62,Toxicroak,1.79291%,1592,1.793%,1182,1.646%
